building_key,sub_property_use,row_count
1000 SOMERVALE CO SW,R201,75
2000 SOMERVALE CO SW,R201,75
3000 SOMERVALE CO SW,A004,66
3000 SOMERVALE CO SW,A005,22
3000 SOMERVALE CO SW,R201,75
4000 SOMERVALE CO SW,R201,75
4500 SOMERVALE CO SW,A006,1
4500R SOMERVALE CO SW,A006,1
5000 SOMERVALE CO SW,A004,76
5000 SOMERVALE CO SW,R201,142
5500 SOMERVALE CO SW,A004,33
5500 SOMERVALE CO SW,A005,14
5500 SOMERVALE CO SW,R201,39
6000 SOMERVALE CO SW,A004,67
6000 SOMERVALE CO SW,R201,75
7000 SOMERVALE CO SW,X057,1
8000 SOMERVALE CO SW,A006,1
