group_rank,plan_signature,row_count,same_floor_plan_count,similar_floor_plan_count,other_count,buildings,units,assessed_value_min,assessed_value_max,value_delta_pct_min,value_delta_pct_max
1,stack:09|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,3,0,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,109V; 209V,10000,10000,-0.9620,-0.9620
2,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,3,3,0,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,109,258500,258500,-0.0171,-0.0171
3,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,3,3,0,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,309,267500,267500,0.0171,0.0171
4,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,3,3,0,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,409,272000,272000,0.0342,0.0342
5,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:177500,2,2,0,0,5000 Somervale Court SW,209; 309,176500,178500,-0.3289,-0.3213
6,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,2,2,0,0,4000 Somervale Court SW; 6000 Somervale Court SW,109,261000,261000,-0.0076,-0.0076
7,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:262500,2,2,0,0,1000 Somervale Court SW; 2000 Somervale Court SW,209,263000,263000,0.0000,0.0000
8,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,2,2,0,0,4000 Somervale Court SW; 6000 Somervale Court SW,209,265500,265500,0.0095,0.0095
9,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,2,2,0,0,4000 Somervale Court SW; 6000 Somervale Court SW,309,270000,270000,0.0266,0.0266
10,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:180000,1,1,0,0,5000 Somervale Court SW,409,181000,181000,-0.3118,-0.3118
