rank,comp_id,source_id,target_building,address,unit,subject_unit,unit_match,unit_score,floor_plan_relation,relation_reason,plan_signature,metric_similarity_pct,metric_match_count,metric_total_count,metric_fields_used,metric_fields_matched,community,assessed_value,re_assessed_value,nr_assessed_value,fl_assessed_value,assessment_year,year_of_construction,property_type,assessment_class,assessment_class_description,land_use_designation,sub_property_use,land_size_sm,sqft,roll_number,value_delta,value_delta_pct,dataset_id,source_url
1,C-OCU-20260225T223244Z-001,S-OCU-20260225T223244Z-001,5500 Somervale Court SW,209 5500 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:295000,98.43,14,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,295000,295000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200283844,32000,0.1217,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
2,C-OCU-20260225T223244Z-002,S-OCU-20260225T223244Z-002,1000 Somervale Court SW,209 1000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:262500,96.17,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,263000,263000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757514849,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
3,C-OCU-20260225T223244Z-003,S-OCU-20260225T223244Z-003,2000 Somervale Court SW,209 2000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:262500,95.77,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,263000,263000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7770.0,,757503925,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%252000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
4,C-OCU-20260225T223244Z-004,S-OCU-20260225T223244Z-004,6000 Somervale Court SW,209 6000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,93.69,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,265500,265500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,8980.0,,757510300,2500,0.0095,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%256000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
5,C-OCU-20260225T223244Z-005,S-OCU-20260225T223244Z-005,4000 Somervale Court SW,209 4000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,91.34,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,265500,265500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,11050.0,,757505540,2500,0.0095,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%254000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
6,C-OCU-20260225T223244Z-006,S-OCU-20260225T223244Z-006,5000 Somervale Court SW,209 5000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:177500,84.60,11,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,176500,176500,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,15100.0,,200387371,-86500,-0.3289,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
7,C-OCU-20260225T223244Z-007,S-OCU-20260225T223244Z-007,5000 Somervale Court SW,209V 5000 SOMERVALE CO SW,209V,209,same_stack+same_floor,150,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,70.57,10,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;comm_code;comm_name;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,10000,10000,0,0,2026,2003.0,LI,RE,Residential,M-C2,A004,15100.0,,200386126,-253000,-0.9620,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
8,C-OCU-20260225T223244Z-008,S-OCU-20260225T223244Z-008,3000 Somervale Court SW,309 3000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,99.79,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,267500,267500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507306,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
9,C-OCU-20260225T223244Z-009,S-OCU-20260225T223244Z-009,3000 Somervale Court SW,109 3000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,99.79,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,258500,258500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506548,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
10,C-OCU-20260225T223244Z-010,S-OCU-20260225T223244Z-010,5500 Somervale Court SW,109 5500 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,98.62,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,290000,290000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200284784,27000,0.1027,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
