comp_id,source_id,address,unit,community,assessed_value,assessment_year,property_type,sqft,roll_number,value_delta,value_delta_pct,dataset_id,source_url
C-OC-20260305T180554Z-001,S-OC-20260305T180554Z-001,205 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506969,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-002,S-OC-20260305T180554Z-002,207 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506944,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-003,S-OC-20260305T180554Z-003,211 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506886,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-004,S-OC-20260305T180554Z-004,212 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506720,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-005,S-OC-20260305T180554Z-005,213 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506860,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-006,S-OC-20260305T180554Z-006,214 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506746,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-007,S-OC-20260305T180554Z-007,215 3000 SOMERVALE CO SW,,SOMERSET,263000,2026,LI,,757506845,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-008,S-OC-20260305T180554Z-008,101 3000 SOMERVALE CO SW,,SOMERSET,267500,2026,LI,,757506621,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-009,S-OC-20260305T180554Z-009,102 3000 SOMERVALE CO SW,,SOMERSET,267500,2026,LI,,757506647,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-010,S-OC-20260305T180554Z-010,104 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506662,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-011,S-OC-20260305T180554Z-011,105 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506589,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-012,S-OC-20260305T180554Z-012,107 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506563,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-013,S-OC-20260305T180554Z-013,109 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506548,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-014,S-OC-20260305T180554Z-014,111 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506506,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-015,S-OC-20260305T180554Z-015,112 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506340,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-016,S-OC-20260305T180554Z-016,113 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506480,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
C-OC-20260305T180554Z-017,S-OC-20260305T180554Z-017,115 3000 SOMERVALE CO SW,,SOMERSET,258500,2026,LI,,757506464,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
