field,field_meaning,present_count,present_pct,distinct_count,value,value_count,value_pct_of_rows,value_pct_of_present,value_meaning,meaning_source
comm_code,Community code from the assessment record.,534,100.00,1,SOM,534,100.00,100.00,SOMERSET,companion:comm_name
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,1.12,1,0.19,0.19,Land parcel size value: 1.12 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,1.49,163,30.52,30.52,Land parcel size value: 1.49 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,1.87,75,14.04,14.04,Land parcel size value: 1.87 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,1.92,75,14.04,14.04,Land parcel size value: 1.92 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,2.22,142,26.59,26.59,Land parcel size value: 2.22 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,2.37,1,0.19,0.19,Land parcel size value: 2.37 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,2.48,1,0.19,0.19,Land parcel size value: 2.48 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,2.5100000000000002,1,0.19,0.19,Land parcel size value: 2.5100000000000002 acres.,derived
land_size_ac,Land size in acres from the assessment record.,534,100.00,9,2.73,75,14.04,14.04,Land parcel size value: 2.73 acres.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,48762.0,1,0.19,0.19,Land parcel size value: 48762.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,64691.0,163,30.52,30.52,Land parcel size value: 64691.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,81375.0,75,14.04,14.04,Land parcel size value: 81375.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,83636.0,75,14.04,14.04,Land parcel size value: 83636.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,96660.0,142,26.59,26.59,Land parcel size value: 96660.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,103337.0,1,0.19,0.19,Land parcel size value: 103337.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,107966.0,1,0.19,0.19,Land parcel size value: 107966.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,109257.0,1,0.19,0.19,Land parcel size value: 109257.0 square feet.,derived
land_size_sf,Land size in square feet from the assessment record.,534,100.00,9,118941.0,75,14.04,14.04,Land parcel size value: 118941.0 square feet.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,4530.0,1,0.19,0.19,Land parcel size value: 4530.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,6010.0,163,30.52,30.52,Land parcel size value: 6010.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,7560.0,75,14.04,14.04,Land parcel size value: 7560.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,7770.0,75,14.04,14.04,Land parcel size value: 7770.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,8980.0,142,26.59,26.59,Land parcel size value: 8980.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,9600.0,1,0.19,0.19,Land parcel size value: 9600.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,10030.0,1,0.19,0.19,Land parcel size value: 10030.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,10150.0,1,0.19,0.19,Land parcel size value: 10150.0 square metres.,derived
land_size_sm,Land size in square metres from the assessment record.,534,100.00,9,11050.0,75,14.04,14.04,Land parcel size value: 11050.0 square metres.,derived
land_use_designation,Land-use designation code from the assessment record.,534,100.00,3,M-C2,532,99.63,99.63,Multi-Residential Contextual Medium Profile District.,known_map
land_use_designation,Land-use designation code from the assessment record.,534,100.00,3,S-SPR,1,0.19,0.19,"Special Purpose - School, Park and Community Reserve District.",known_map
land_use_designation,Land-use designation code from the assessment record.,534,100.00,3,S-UN,1,0.19,0.19,Special Purpose - Urban Nature District.,known_map
sub_property_use,Sub-property-use code from the assessment record.,534,100.00,5,A004,133,24.91,24.91,Ancillary V-suffix record; typically parking-related (inference).,known_map
sub_property_use,Sub-property-use code from the assessment record.,534,100.00,5,A005,22,4.12,4.12,Ancillary S-suffix record; typically storage-related (inference).,known_map
sub_property_use,Sub-property-use code from the assessment record.,534,100.00,5,A006,3,0.56,0.56,Auxiliary parcel/common-property record (inference).,known_map
sub_property_use,Sub-property-use code from the assessment record.,534,100.00,5,R201,375,70.22,70.22,Primary residential condo-unit record.,known_map
sub_property_use,Sub-property-use code from the assessment record.,534,100.00,5,X057,1,0.19,0.19,Exceptional/special record code (inference).,known_map
year_of_construction,Year of construction from the assessment record.,531,99.44,2,2001.0,530,99.25,99.81,Year built: 2001.,derived
year_of_construction,Year of construction from the assessment record.,531,99.44,2,2002.0,1,0.19,0.19,Year built: 2002.,derived
year_of_construction,Year of construction from the assessment record.,531,99.44,2,,3,0.56,,Missing in source row.,missing
