field,present_count,present_pct
address,534,100.00
assessed_value,534,100.00
assessment_class,534,100.00
assessment_class_description,534,100.00
comm_code,534,100.00
comm_name,534,100.00
cpid,534,100.00
fl_assessed_value,534,100.00
land_size_ac,534,100.00
land_size_sf,534,100.00
land_size_sm,534,100.00
land_use_designation,534,100.00
mod_date,534,100.00
multipolygon,534,100.00
nr_assessed_value,534,100.00
property_type,534,100.00
re_assessed_value,534,100.00
roll_number,534,100.00
roll_year,534,100.00
sub_property_use,534,100.00
unique_key,534,100.00
year_of_construction,531,99.44
