Value,Count,%,% Present,Meaning,How Resolved*
1.12,1,0.12,0.12,Land parcel size value: 1.12 acres.,derived
1.49,163,19.45,19.45,Land parcel size value: 1.49 acres.,derived
1.5,86,10.26,10.26,Land parcel size value: 1.5 acres.,derived
1.87,75,8.95,8.95,Land parcel size value: 1.87 acres.,derived
1.92,75,8.95,8.95,Land parcel size value: 1.92 acres.,derived
2.22,142,16.95,16.95,Land parcel size value: 2.22 acres.,derived
2.37,1,0.12,0.12,Land parcel size value: 2.37 acres.,derived
2.48,1,0.12,0.12,Land parcel size value: 2.48 acres.,derived
2.5100000000000002,1,0.12,0.12,Land parcel size value: 2.5100000000000002 acres.,derived
2.73,75,8.95,8.95,Land parcel size value: 2.73 acres.,derived
3.73,218,26.01,26.01,Land parcel size value: 3.73 acres.,derived
