Value,Count,%,% Present,Meaning,How Resolved*
48762.0,1,0.12,0.12,Land parcel size value: 48762.0 square feet.,derived
64691.0,163,19.45,19.45,Land parcel size value: 64691.0 square feet.,derived
65554.0,86,10.26,10.26,Land parcel size value: 65554.0 square feet.,derived
81375.0,75,8.95,8.95,Land parcel size value: 81375.0 square feet.,derived
83636.0,75,8.95,8.95,Land parcel size value: 83636.0 square feet.,derived
96660.0,142,16.95,16.95,Land parcel size value: 96660.0 square feet.,derived
103337.0,1,0.12,0.12,Land parcel size value: 103337.0 square feet.,derived
107966.0,1,0.12,0.12,Land parcel size value: 107966.0 square feet.,derived
109257.0,1,0.12,0.12,Land parcel size value: 109257.0 square feet.,derived
118941.0,75,8.95,8.95,Land parcel size value: 118941.0 square feet.,derived
162540.0,218,26.01,26.01,Land parcel size value: 162540.0 square feet.,derived
