Value,Count,%,% Present,Meaning,How Resolved*
4530.0,1,0.12,0.12,Land parcel size value: 4530.0 square metres.,derived
6010.0,163,19.45,19.45,Land parcel size value: 6010.0 square metres.,derived
6090.0,86,10.26,10.26,Land parcel size value: 6090.0 square metres.,derived
7560.0,75,8.95,8.95,Land parcel size value: 7560.0 square metres.,derived
7770.0,75,8.95,8.95,Land parcel size value: 7770.0 square metres.,derived
8980.0,142,16.95,16.95,Land parcel size value: 8980.0 square metres.,derived
9600.0,1,0.12,0.12,Land parcel size value: 9600.0 square metres.,derived
10030.0,1,0.12,0.12,Land parcel size value: 10030.0 square metres.,derived
10150.0,1,0.12,0.12,Land parcel size value: 10150.0 square metres.,derived
11050.0,75,8.95,8.95,Land parcel size value: 11050.0 square metres.,derived
15100.0,218,26.01,26.01,Land parcel size value: 15100.0 square metres.,derived
